Processo;Tipo;Numero;Ano;Ementa;Autor;Relator;Data_Tramitação;Local_Tramitação;Origem_Tramitação;Data_TI;Local_TI;Estado;Dias na Comissão;Dias no Estado Atual
PLO 0001/2026;PLO;0001;2026;Projeto de PLO nº 0001/2026 - Descrição do projeto número 1;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. TONINHO PAIVA (REPUBLICANOS);07/02/2026 00:00:00;FIN;Recebido de SGP16;12/04/2026 00:00;Secretaria (SGP28);Rejeitado;15;21
PDL 0002/2026;PDL;0002;2026;Projeto de PDL nº 0002/2026 - Descrição do projeto número 2;Ver. CRIS MONTERO (Novo);Ver. SONINHA FRANCISCHINI (PL);13/01/2026 00:00:00;FIN;Recebido de SGP26;26/01/2026 00:00;Secretaria (SGP33);Rejeitado;57;30
PR 0003/2026;PR;0003;2026;Projeto de PR nº 0003/2026 - Descrição do projeto número 3;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. EDISON SANTOS (PDT);01/01/2026 00:00:00;FIN;Recebido de SGP15;15/01/2026 00:00;Secretaria (SGP90);Aguardando Notas Taquigráficas;106;2
PDL 0004/2026;PDL;0004;2026;Projeto de PDL nº 0004/2026 - Descrição do projeto número 4;Ver. LUNA ZARATTINI (PT);Ver. SONINHA FRANCISCHINI (PL);24/01/2026 00:00:00;FIN;Recebido de SGP84;21/03/2026 00:00;Secretaria (SGP12);Estudo para manifestação do relator;50;13
PLO 0005/2026;PLO;0005;2026;Projeto de PLO nº 0005/2026 - Descrição do projeto número 5;Ver. EDISON SANTOS (PDT);Ver. KEIT LIMA (PSOL);17/01/2026 00:00:00;FIN;Recebido de SGP70;22/01/2026 00:00;Secretaria (SGP70);Encaminhado para Análise;88;22
PLO 0006/2026;PLO;0006;2026;Projeto de PLO nº 0006/2026 - Descrição do projeto número 6;Ver. TONINHO PAIVA (REPUBLICANOS);Sem Relator Designado;16/03/2026 00:00:00;FIN;Recebido de SGP96;04/01/2026 00:00;Secretaria (SGP81);Aguardando Pareceres;61;4
PL 0007/2026;PL;0007;2026;Projeto de PL nº 0007/2026 - Descrição do projeto número 7;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);27/02/2026 00:00:00;FIN;Recebido de SGP30;21/04/2026 00:00;Secretaria (SGP28);Aprovado;120;17
PR 0008/2026;PR;0008;2026;Projeto de PR nº 0008/2026 - Descrição do projeto número 8;Ver. DELEGADO JOÃO PAULO (PSD);Ver. TONINHO PAIVA (REPUBLICANOS);01/03/2026 00:00:00;FIN;Recebido de SGP64;25/05/2026 00:00;Secretaria (SGP47);Aguardando Notas Taquigráficas;82;23
PL 0009/2026;PL;0009;2026;Projeto de PL nº 0009/2026 - Descrição do projeto número 9;Ver. TONINHO PAIVA (REPUBLICANOS);Sem Relator Designado;13/04/2026 00:00:00;FIN;Recebido de SGP58;24/04/2026 00:00;Secretaria (SGP21);Aguardando Pareceres;18;6
PDL 0010/2026;PDL;0010;2026;Projeto de PDL nº 0010/2026 - Descrição do projeto número 10;Ver. JOSÉ POLICE NETO (PSDB);Ver. EDISON SANTOS (PDT);30/01/2026 00:00:00;FIN;Recebido de SGP19;06/01/2026 00:00;Secretaria (SGP98);Encaminhado para Análise;93;20
