"Processo","Ementa","Autor","Relator","Tramitação","Tramitacao Interna","Dias na Comissão","Dias no Estado Atual"
"PL 299/2026","DISPÕE SOBRE AS DIRETRIZES ORÇAMENTÁRIAS PARA O EXERCÍCIO DE 2027.","Executivo - RICARDO NUNES","Ver. ANA CAROLINA OLIVEIRA (PODE)","16/04/2026 21:40:00 - FIN  (Recebido de SGP22)","20/05/2026 02:46 - Secretaria (SGP12) / Aguardando Notas Taquigráficas (Audiência realizada)","37","3"
"PL 154/2026","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE SÃO PAULO O DIA DO FESTIVAL DO BARCO-DRAGÃO (DRAGON BOAT FESTIVAL – DUANWU JIE).","Ver. GEORGE HATO (MDB)","","21/05/2026 17:58:00 - FIN  (Recebido de EDUC)","21/05/2026 05:58 - Presidente da Comissão / Designar Relator","2","2"
"PL 1474/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE SÃO PAULO O DIA DA SANTA MAZU.","Ver. GEORGE HATO (MDB)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 1365/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE DE SÃO PAULO O “DIA MUNICIPAL DO IMIGRANTE BESSARABIANO, BÚLGARO E GAGAÚZO"".","Ver. THAMMY MIRANDA (PSD)","","12/05/2026 14:15:00 - FIN  (Recebido de EDUC)","12/05/2026 02:15 - Presidente da Comissão / Designar Relator","11","11"
"PL 1362/2025","ALTERA A LEI Nº. 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O PRÊMIO ARCANJO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. EDIR SALES (PSD)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 1360/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O “ROMARIA DE PARELHEIROS AO PENTEADO” NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 1359/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O “DIA DO AUXILIAR EM SAÚDE BUCAL” NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 1288/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007 PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE DE SÃO PAULO, A “SEMANA MUNICIPAL DE CONSCIENTIZAÇÃO SOBRE OS DIREITOS E OS BONS-TRATOS ANIMAIS” E DÁ OUTRAS PROVIDÊNCIAS.","Ver. DR. MURILLO LIMA (PP)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 1235/2025","ALTERA A LEI Nº 14.481, DE 12 DE JULHO DE 2007, QUE DISPÕE SOBRE A RESERVA DE VAGAS EM ESTACIONAMENTOS PARA IDOSOS, PARA ESPECIFICAR A OBRIGATORIEDADE EM EVENTOS TEMPORÁRIOS","Ver. GABRIEL ABREU (PODE)","","21/05/2026 14:31:00 - FIN  (Recebido de SAUDE)","21/05/2026 02:31 - Presidente da Comissão / Designar Relator","2","2"
"PL 1135/2025","DISPÕE SOBRE A OBRIGATORIEDADE DE IDENTIFICAÇÃO VISÍVEL DOS MOTORISTAS EM VEÍCULOS DE TRANSPORTE POR APLICATIVO NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. RUTE COSTA (PL)","","11/05/2026 10:51:00 - FIN  (Recebido de ECON)","11/05/2026 10:51 - Presidente da Comissão / Designar Relator","12","12"
"PL 996/2025","ALTERA A LEI N° 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE SÃO PAULO, O ""MÊS DO FEVEREIRO LARANJA E ROXO"", A SER COMEMORADO ANUALMENTE NO MÊS DE FEVEREIRO.","Ver. AMANDA PASCHOAL (PSOL)Ver. PROFESSOR TONINHO VESPOLI (PSOL)","Ver. KEIT LIMA (PSOL)","20/03/2026 11:47:00 - FIN  (Recebido de EDUC)","14/05/2026 03:54 - Relator(a) / Estudo para manifestação do relator","64","9"
"PL 980/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O ‘DIA DO ANIVERSÁRIO DO BAIRRO VARGINHA’ NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)Ver. SILVÃO LEITE (UNIÃO)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","20/03/2026 11:49:00 - FIN  (Recebido de EDUC)","30/04/2026 04:30 - Relator(a) / Estudo para manifestação do relator","64","23"
"PL 979/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O “DIA DO BAIRRO JARDIM ICARAÍ” NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)Ver. SILVÃO LEITE (UNIÃO)","Ver. GILBERTO NASCIMENTO (PL)","02/02/2026 13:55:00 - FIN  (Recebido de EDUC)","07/05/2026 04:59 - Relator(a) / Estudo para manifestação do relator","110","16"
"PL 977/2025","INCLUIR NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE SÃO PAULO O “DIA DO ENCONTRO MUNICIPAL DOS GRÊMIOS ESTUDANTIS” E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 966/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE DE SÃO PAULO, A “QUERMESSE NA PRAÇA” DA PARÓQUIA SÃO LUÍS GONZAGA, A SER CELEBRADA ANUALMENTE NOS FINAIS DE SEMANA DO MÊS DE JUNHO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ELISEU GABRIEL (PSB)","Ver. KEIT LIMA (PSOL)","20/03/2026 11:50:00 - FIN  (Recebido de EDUC)","29/04/2026 03:45 - Relator(a) / Assinar Relatório","64","24"
"PL 945/2025","ALTERA A LEI 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO  OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O ANIVERSÁRIO DO PARQUE DO POVO E O DIA DO FESTIVAL MUSIC IN THE PARK PARQUE DO POVO NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. LUCAS PAVANATO (PL)","Ver. KEIT LIMA (PSOL)","23/04/2026 16:04:00 - FIN  (Recebido de EDUC)","29/04/2026 05:41 - Consultoria (CTEO.1) / Para análise","30","24"
"PL 901/2025","ALTERA A LEI MUNICIPAL Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR O DIA DO JIPE SOLIDÁRIO, A SER COMEMORADO ANUALMENTE NO DIA 31 DE MAIO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ISAC FÉLIX (PL)","Ver. GILBERTO NASCIMENTO (PL)","19/12/2025 13:17:00 - FIN  (Recebido de EDUC)","16/04/2026 03:03 - Relator(a) / Estudo para manifestação do relator","155","37"
"PL 894/2025","ALTERA A LEI Nº. 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O DIA DO FLASHBACK E FLASH HOUSE, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. EDIR SALES (PSD)","Ver. GILBERTO NASCIMENTO (PL)","13/04/2026 14:58:00 - FIN  (Recebido de EDUC)","27/04/2026 04:40 - Consultoria (CTEO.1) / Para análise","40","26"
"PL 857/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR “O DIA DO PERITO JUDICIAL”, NO CALENDÁRIO DE EVENTOS DO MUNICÍPIO DE SÃO PAULO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. RUTE COSTA (PL)","Ver. MAJOR PALUMBO (PP)","19/12/2025 13:17:00 - FIN  (Recebido de EDUC)","06/04/2026 02:26 - Consultoria (CTEO.1) / Para análise","155","47"
"PL 847/2025","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O “DIA DO ANIVERSÁRIO DO BAIRRO CANTINHO DO CÉU” NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)Ver. SILVÃO LEITE (UNIÃO)","Ver. ANA CAROLINA OLIVEIRA (PODE)","02/02/2026 13:55:00 - FIN  (Recebido de EDUC)","06/04/2026 02:26 - Consultoria (CTEO.1) / Para análise","110","47"
